canonical,name,uei,recipient_id,code,amount_fy,ticker
CARNEGIE MELLON UNIVERSITY,CARNEGIE MELLON UNIVERSITY,G4P3TF8PFH73,490fb579-bf1f-3021-0f49-6127474e3a46-C,189570740,164693650.04,
FAIRWINDS,FAIRWINDS TECHNOLOGIES LLC,R3G6PWHQRAY5,29efc594-6891-a465-5460-35af813de98c-C,080308420,163599400.22,
GARTNER,"GARTNER, INC.",CFALLJBGZ697,ebe6041c-c99b-fb52-193d-1d9ad18e645e-C,097220180,162834347.30,
MANAGEMENT,"MANAGEMENT SERVICES GROUP, INC.",N8NGW9BXG5R8,8f32d5ed-271c-05d1-5080-a57c1f1d25f8-C,006543826,160663499.96,
SOFTRAMS,SOFTRAMS LLC,P4X8JNU7TMQ7,032a0d60-c2bc-9e9b-abe5-d6e488d48084-C,006410953,158024299.15,
OASIS,"OASIS SYSTEMS, LLC",MST2Z1EG1HV7,bc62a539-da64-77c2-0b2b-286752741463-C,176018810,156457608.12,
HPI,HPI FEDERAL LLC,DJRUN4KK1HK3,5854bb09-e3fb-546c-f374-0845f138f8e8-C,079871826,155187055.76,
GREAT HILL,"GREAT HILL SOLUTIONS, LLC",D3DYHNPJ6W14,f7747802-731c-0690-b7a1-8774bfbfae9b-C,081088054,154847855.85,
B 3,"B 3 GROUP, LLC",SVSAKVZJN1S7,54434db9-a2ce-5e00-a398-2db911f96c3f-C,832900018,154735200.13,
COMPANION DATA,COMPANION DATA SERVICES LLC,FMV5MKKUNH36,0b22b365-b4ae-4eef-1792-b31b435ca131-C,362904331,154580560.00,
AXIENT,AXIENT LLC,MHJ2S6K2LKP5,e4f80b7a-5e27-decc-84ee-2790e8737c62-C,011971939,153286913.44,
STEAMPUNK,"STEAMPUNK, INC.",LJZTDJWPG431,063933ec-ff9e-6092-a518-37a029be4c71-C,129148610,152512522.92,
ALL POINTS LOGISTICS,"ALL POINTS LOGISTICS, LLC",KNDAEKSMLLE4,ba2921b4-1e9e-7e4d-00f1-c3a1f903a4c1-C,968451591,152361872.05,
ALVAREZ,ALVAREZ LLC,Y928UVG75CT6,d55dabdb-0c89-b6e8-e4f5-5817d2be7b63-C,160759135,151123353.18,
RAND,THE RAND CORPORATION,YY46Q97AEZA8,c2e789dd-a647-f435-a418-0a918163d623-C,006914071,149008045.81,
DCS,DCS CORPORATION,FJS8P9C6B368,6eb1a41a-0f06-b7ec-39f3-5c94f8248a6a-C,083662916,148142613.95,
BRASADA FORD,BRASADA FORD LTD,RU2SY2JCWKP4,bc3fcf4b-dcdf-f8a0-f669-c74e15fb3fb2-C,620485276,147509510.00,
EMERGENT PRODUCT DEVELOPMENT GAITHERSBURG,EMERGENT PRODUCT DEVELOPMENT GAITHERSBURG INC.,CNPVCR8DK7M8,f11cb234-3721-7806-3e4f-08dbd0408f5d-C,189488554,145628759.71,
UNIVERSITY OF TEXAS AT AUSTIN,UNIVERSITY OF TEXAS AT AUSTIN,MG1PPMPNS9G3,f429caf7-a212-0335-4424-29e2faced514-C,127688380,142942363.95,
CREDENCE MANAGEMENT LIABILITY,CREDENCE MANAGEMENT SOLUTIONS LIMITED LIABILITY COMPANY,FZNCSKF4X6D9,421be47b-ffc8-a394-1f62-a25955938c63-C,805875718,140485861.12,
PPD DEVELOPMENT,PPD DEVELOPMENT LP,ZANENSW6C665,af7be35d-35de-b60c-73d2-10a63b8f12db-C,362574527,139704493.50,
AMERICAN INSTITUTES FOR RESEARCH IN THE BEHAVIORAL SCIENCES,AMERICAN INSTITUTES FOR RESEARCH IN THE BEHAVIORAL SCIENCES,MCN6J5L6M3T4,0e232f5f-5cc0-3d79-f26b-893dc8cced0e-C,041733197,137934764.49,
COLSA,COLSA CORP,EH2ULQUQ2KG9,0e75bcea-cce2-b87c-0073-6fc8862b9d29-C,102067378,137049300.85,
INNOVATIVE MANAGEMENT CONCEPTS,"INNOVATIVE MANAGEMENT CONCEPTS, INC",E1KJG94MCPL7,724e5b77-bde4-5e41-654b-0d45a11d7132-C,605691807,137026986.27,
PRESCIENT EDGE,PRESCIENT EDGE CORPORATION,UCR9VMCCN3H5,4177ecc7-1ce6-7fb1-a60a-84dd7c0d436b-C,054722554,135330726.53,
SECURIGENCE,SECURIGENCE LLC,Q56SJRTSJSE4,fe569147-ec14-c7b1-0396-b9c5fa2d212f-C,034461779,135127784.57,
SENECA STRATEGIC PARTNERS,"SENECA STRATEGIC PARTNERS, LLC",V9BHF33RNSG1,047c0362-a498-3e37-2059-f847e9ab3cec-C,117466856,134700948.87,
DEV TECHNOLOGY,DEV TECHNOLOGY GROUP INC,EBHPGDLGQLB5,d768b60a-beaa-2e46-7aa5-6df63e232bb2-C,105667401,133965343.24,
SYNERGY BUSINESS INNOVATION,SYNERGY BUSINESS INNOVATION & SOLUTIONS INC.,UDNBG3G6ZMM6,23ddd4b3-ef51-6e2b-d727-c07c943712fb-C,826338498,133964595.13,
AXIOM SPACE,AXIOM SPACE INC,WAXDQTVKGQE8,b86453e4-d917-78e1-6af2-eb04bcaf9b47-C,080411954,133797526.01,
PAR GOVERNMENT,PAR GOVERNMENT SYSTEMS CORPORATION,TJYESMKRB5X5,21d536cb-2ddf-f5fd-e845-485be06d0423-C,192609972,132710613.00,
TECHNOLOGY SERVICE,TECHNOLOGY SERVICE CORP,NY98VECEW8H6,5cab96dc-cdd4-81ec-1af4-83fd0b00fc4a-C,053885604,132153258.09,
MAG DS,MAG DS CORP,YJCQHLKKG3W5,d67f40c0-1d20-fa4a-173d-eb96bfec5874-C,836498902,130464494.82,
SMITHS DETECTION,SMITHS DETECTION INC.,FHKLJV1NP651,f3261357-004d-9f85-a1b9-c147727004ca-C,194239018,130009475.54,
UNIVERSITY OF DAYTON,UNIVERSITY OF DAYTON,V62NC51F7YV1,58d13fb1-427c-0461-53db-341b90f81c0c-C,073134025,129962388.55,
AMGEN,AMGEN USA INC,XPGNQMXHP493,c4a5ad8c-8508-57f1-d795-c77512f85fe9-C,962075045,129850670.38,
ACUMEN,ACUMEN LLC,XVMTJF1497P1,43b6a6cc-9216-fae5-3cba-fffd776feb1c-C,083778964,128238076.56,
VETERANS EZ INFO,VETERANS EZ INFO INC.,HH52KZGMV2Y6,ec9ccf31-7869-05d6-9acf-2e7bcef863f9-C,078454673,128154813.06,
AGILE DECISION SCIENCES,"AGILE DECISION SCIENCES, LLC",C6EMRJ67V4M3,4b05f6bb-c9ce-8ef9-4701-7ba8cd771827-C,080677704,127598646.03,
IMMIXTECHNOLOGY,IMMIXTECHNOLOGY INC,L6REMB5VKLL9,064ae3ed-3369-713b-8489-8ff60e8be050-C,098692374,127265492.15,
EARTH RESOURCES TECHNOLOGY,"EARTH RESOURCES TECHNOLOGY, LLC",DFH4YBBMYMU8,157986dd-1d51-b2f0-1f9a-af1c5d1bb5c3-C,090770967,125896712.55,
NTT DATA,"NTT DATA FEDERAL SERVICES, INC.",WLDXH4S6J7G6,f2ea0c78-8087-e053-6dae-e93e20e8f16e-C,066781865,125660226.49,
SPACE NETWORK,SPACE NETWORK SOLUTIONS LLC,C1K1HHDZKB75,5db795d2-8cd4-f80f-1752-6c5478aeba78-C,080736661,125314493.42,
SRI,SRI INTERNATIONAL,SRG2J1WS9X63,a43aff3e-a570-0cb9-f0e5-3f0b2cc7d6e9-C,009232752,124089765.01,
LANCER INFORMATION,"LANCER INFORMATION SOLUTIONS, LLC",NNDATBHM7KY1,ebab4895-f155-392d-b3ec-fca286753df2-C,789481798,122944359.96,
AATD,AATD LLC,X76KEVV61AM9,622d35b6-32bc-08bf-6166-53a270c6277e-C,042861498,122131436.37,
SCIENCE AND ENGINEERING,"SCIENCE AND ENGINEERING SERVICES, LLC",E3D7U1KNNJC8,20362d0e-45a4-f2cc-a767-f32fea886782-C,794757877,122094928.31,
AAR GOVERNMENT,"AAR GOVERNMENT SERVICES, INC.",GFWVNNYFEVR2,f21bf992-9b99-df82-c21a-898a38331075-C,080899079,121544423.52,
SMARTRONIX,"SMARTRONIX, LLC",CMBKC2MHJFK5,19ab04e2-74ac-5802-1022-90f48f550ee7-C,965091606,121495933.36,
PANAMERICA COMPUTERS,"PANAMERICA COMPUTERS, INC.",DPQEDJ6CXZM5,70e674ba-2d79-d6bb-37c8-a03189735d37-C,166669742,121242556.07,
EASTERN RESEARCH,EASTERN RESEARCH GROUP INC,DK4TBEJRAR56,c49e7764-e766-a510-906f-28a765951109-C,112947395,120635737.18,
ARCTICOM,"ARCTICOM, LLC",SM3DL16FHN43,3ff305fc-0c6f-1500-259f-4fa7abed3a12-C,079766453,120057250.14,
FRONTIER TECHNOLOGY,FRONTIER TECHNOLOGY INC,P7SFAJZ6M9J6,801e36af-0e60-77fe-efa1-b96efd50ffb8-C,153927827,119739084.36,
ODDBALL,"ODDBALL, INC.",MHNFNJ1J5RF5,8c52c101-e5d5-be48-ff24-ae7761803253-C,080051825,119591839.61,
CADMUS,THE CADMUS GROUP LLC,WSEZME8NNBA8,dffaf1ab-e1d0-0bc3-14aa-56296c6c3043-C,101163731,119492023.51,
SEMANTICBITS,SEMANTICBITS LLC,C4KLXJ2N4G91,01169c62-a67e-9a7f-9c39-d3c6258605f9-C,155384121,118892898.11,
ATLANTIC DIVING SUPPLY,"ATLANTIC DIVING SUPPLY, INC.",GJMSFBCNMSK3,9c708c7c-f339-5fc8-0455-a5aaea1d2da5-C,027079776,118468396.17,
CDW GOVERNMENT,CDW GOVERNMENT LLC,PHZDZ8SJ5CM1,5f4e5d33-10ef-b0cc-1f33-8835b33808f1-C,026157235,117908037.14,
AGILE DEFENSE,"AGILE DEFENSE, LLC",KRGLGTXRYL94,f7101b2d-1601-28c3-6099-efd981538f28-C,041054441,117804198.42,
AMERICAN ELECTRONIC WARFARE ASSOCIATES,"AMERICAN ELECTRONIC WARFARE ASSOCIATES, INCORPORATED",KJDQBTJ7KUH4,46d107e6-a861-1e03-482f-e201ddda4a66-C,122095169,117777610.54,
INNOVATIVE DEFENSE,"INNOVATIVE DEFENSE TECHNOLOGIES, LLC",QEHMNH93DYH6,6e56ecb0-9986-82a6-43ff-4a1e9b71946c-C,606926769,116301623.99,
PALANTIR,PALANTIR USG INC,HNN4F9JZWDY8,11a97fdb-cb3b-16d2-aa67-a0f7b265b4ae-C,825284321,116152243.64,PLTR
DIGNARI,"DIGNARI, LLC",LT1AZYC3CXK5,aa66c929-1e4b-cf94-befe-0acf26aa35c8-C,079192182,115949129.82,
NATIONAL OPINION RESEARCH CENTER,NATIONAL OPINION RESEARCH CENTER,MPYFY5UMSDP4,5e7406f6-85c5-7077-5ebb-789745b75e2d-C,069512291,115524296.03,
EXECUTIVE INFORMATION L L C,"EXECUTIVE INFORMATION SYSTEMS, L.L.C.",MKF6VA9NZLR8,589f33bf-0a5c-824b-5e51-d1c6cb930fb5-C,938289527,114940511.47,
PROVIDENCIA,THE PROVIDENCIA GROUP LLC,J351QRK6L4J1,b617c119-a6de-433d-fbd9-4e833a52b3bf-C,117882948,114811023.93,
ELBITAMERICA,"ELBITAMERICA, INC.",TBLKC12FCDH8,3b8a1582-15d6-d8d8-48ab-b6e173535d46-C,800765331,113756425.17,
AERO TURBINE,"AERO TURBINE, INC",LUMJB673C9K9,fe10576e-df5d-2921-c447-b394396f56de-C,021780689,113559629.91,
KNIGHT POINT,"KNIGHT POINT SYSTEMS, LLC",NP74V9C64DN5,183e8b7e-04ae-1ad9-0165-65b1fa0358ac-C,622594492,113023275.72,
SAPIENT GOVERNMENT,"SAPIENT GOVERNMENT SERVICES, INC.",JFSULRKLVCB9,48a14819-43ca-e7c7-e42b-c3aa96235a01-C,611823738,112747773.02,
KARSUN,KARSUN SOLUTIONS LLC,WTERVPLW2SS6,0262ab5a-f1a2-e043-4c33-fa492145b96e-C,832226802,112673540.25,
SIGA,"SIGA TECHNOLOGIES, INC.",VJRNRTSL22K4,a2997755-49f8-69ea-9b02-3057fb859360-C,932651516,112552320.00,
AUGUST SCHELL ENTERPRISES,"AUGUST SCHELL ENTERPRISES, INC.",PPMBFPRXNAJ9,85fe27a9-a9cf-c3d2-21e3-87e0f77b0ded-C,877238592,111533647.47,
HAMILTON SUNDSTRAND SPACE,"HAMILTON SUNDSTRAND SPACE SYSTEMS INTERNATIONAL, INC.",LFZJHMW3EJ39,efc5f063-27af-3505-b2ba-0942484a744f-C,009962767,111005000.00,
SIGMATECH,SIGMATECH INC,G2W1NL736LE8,c9b40665-bbaa-4a0d-8ce4-5717167a604d-C,193460839,109956845.03,
DELL,DELL FEDERAL SYSTEMS L.P,N1C5QLNPJLS4,3612de0a-9635-3846-a5a1-7f555fba52df-C,149530219,108166858.77,DELL
NAKUPUNA CONSULTING,NAKUPUNA CONSULTING LLC,FAP4HJHRMJU3,51bacc97-94bb-ed39-8aa1-7aacb336c2d0-C,117672240,107755693.60,
COLE ENGINEERING,"COLE ENGINEERING SERVICES, INC.",KPTFNV8G23L1,236ac8d6-bc81-9510-0225-1d6f38cf4b71-C,146066829,107595153.90,
KPMG,KPMG LLP,MAA3SBSDQVM1,6432ec51-4000-ee31-2f37-d259e7a75d15-C,080298309,107242894.54,
ULTRA ELECTRONICS OCEAN,ULTRA ELECTRONICS OCEAN SYSTEMS INC.,SVHJHMJH65S8,f078089b-fd45-9b60-a77d-cc20c668fe84-C,139130681,106614160.54,
TECHNOLOGY RESEARCH,SYSTEMS & TECHNOLOGY RESEARCH LLC,SA7ZWUEM9RG4,c233e603-0df0-d9ad-fbf7-04ba608a0f7a-C,964928464,106253250.33,
SPARTON DELEON SPRINGS,"SPARTON DELEON SPRINGS, LLC",H7KFX5RH75K3,13c8b5ab-4fff-69fd-2232-aa37d916b8ae-C,042398701,106061243.12,
GOVPLACE,"GOVPLACE, LLC",JMVMGGNJGA29,8467a285-b38f-7ccf-fb4c-9c52c4762e7c-C,957050883,105989440.85,
I3,I3 FEDERAL LLC,T8BVM29MEWU5,d466924a-46e8-7e29-9360-266030d4c8d9-C,785013215,105396234.68,
ALPHA OMEGA INTEGRATION,ALPHA OMEGA INTEGRATION LLC,NF34JCA2PME3,e497f5e9-e86b-d863-b57c-6956d568afee-C,962799982,105262977.65,
STANDARD AERO (SAN ANTONIO),STANDARD AERO (SAN ANTONIO) INC.,DK4FFWX369H9,d55a6ee1-7f20-3660-b0b8-97d4c9d31f49-C,163090769,103856111.34,
JAMAICA BEARINGS,"JAMAICA BEARINGS CO., INC.",YQWKDTNVB4J9,82f222d8-322d-fc4f-0a95-cb390a9ce29f-C,001826627,103695438.92,
GZO,"GZO, INC.",N1D1QHD3JA45,8bc1cafc-7b2f-93c3-b75f-79bacdfb07e2-C,078571314,103668765.28,
KONGSBERG DEFENCE AEROSPACE AS,KONGSBERG DEFENCE & AEROSPACE AS,V24HYE4YVGH6,2f22cbe0-84d3-21d8-f5eb-bc0207105ebb-C,730361318,103111698.00,
UNIVERSITY OF WASHINGTON,UNIVERSITY OF WASHINGTON,HD1WMN6945W6,8a022699-f7be-356a-f01a-3aa6f76016ef-C,605799469,102214905.34,
LANTANA CONSULTING,"LANTANA CONSULTING GROUP, INC",E4PYLU3XDL39,fe2abc11-7e2e-8112-8bea-3bfcf219e597-C,557565814,102124006.14,
BY LIGHT PROFESSIONAL IT,BY LIGHT PROFESSIONAL IT SERVICES LLC,NKKQE6FG4C28,f22eaf09-af96-bea0-f0c3-2876676ec949-C,132027694,102119609.31,
MAVERIS,MAVERIS LLC,NEKWPBM5VT33,28acf7d6-a03e-98b2-ae85-d99bbd8c3f6c-C,079819668,101849610.67,
OTICON,"OTICON, INC",V6ESJZM8JVU7,51b0fc73-2daa-ba79-61c9-84a0cb0e8374-C,161029913,101752702.23,
AERODYNE-SGT ENGINEERING,"AERODYNE-SGT ENGINEERING SERVICES, LLC",M7H2UMXAD9V3,cf84d383-a58c-fc3f-4835-a1c3280936a6-C,081288454,101244456.22,
EMMES,"THE EMMES COMPANY, LLC",NBQCBJ6FXBU4,9d4c45a9-af83-30ed-2d2b-7be7d3df49b9-C,096360284,99978440.30,
BAHFED,BAHFED CORP,TQ2KDQLRL8F1,385fc558-6774-83d9-9b51-953dec04283b-C,078277396,98989538.04,
RRDS,RRDS INC,N6HLN4H7TJF9,1186194a-aad6-7bf5-5a15-7f82bfedbc12-C,079249789,98632503.27,
SPARKSOFT,SPARKSOFT CORPORATION,JXL3M7N4DWX5,d03d8a89-08e8-0366-c6f2-02c1551a6838-C,800441755,98018628.87,
AURORA FLIGHT SCIENCES,AURORA FLIGHT SCIENCES CORPORATION,K1L1BZLNPWC4,23c9b680-370f-e3eb-79d0-f1afc23e13fc-C,604717165,97629030.77,
J F TAYLOR,"J.F. TAYLOR, INC.",N69MTSWBLK77,5f914a14-5846-8f8a-aa4b-58ff187995f2-C,114358625,97456820.01,
SABEL TECHNOLOGY,"SABEL SYSTEMS TECHNOLOGY SOLUTIONS, LLC",F65SGFW2TUC6,efa6a83f-5d3d-3a3c-6916-68ced5ef4e9c-C,131784725,96233209.81,
LMI CONSULTING,"LMI CONSULTING, LLC",QVEKLLJUGHJ7,9291f485-a281-155d-c22c-1821a912cefe-C,117404874,96158317.61,
PARAGON MICRO,PARAGON MICRO INC,E41LV9AJGHQ1,8249282d-ed64-da04-74bb-8dbf49c9cca5-C,800436714,95907384.27,
INDEX ANALYTICS,INDEX ANALYTICS LLC,QYFPCDC4JMC5,2e5190eb-609b-6b63-0bd7-aea8dee8afa8-C,078727384,95535381.10,
MINDPOINT,MINDPOINT GROUP LLC,RFT6PGN45CG5,e67a48c1-6405-7dee-3f72-542f8454d2da-C,829296669,95472405.73,
ASRC SYSTEM,ASRC FEDERAL SYSTEM SOLUTIONS LLC,FD7JDCJ4AMF9,72067fac-0ca1-c385-07a1-3db3b8f3411f-C,079914721,95363655.99,
CQ JV,"CQ JV, LLC",HUL8QJNGQJ15,1cbcefdd-cc1e-46fc-81d1-35305e476479-C,117071140,94816345.01,
WESTERN DOOR,"WESTERN DOOR FEDERAL, LLC",EJVWRH7GWKM3,e4de6a96-7d30-8880-6a7b-e142b83ef1cd-C,081097564,94279264.55,
CH2M HILL - CDM PA-TAC RECOVERY,CH2M HILL - CDM PA-TAC RECOVERY SERVICES,JN64M1FN5551,c4fedb36-63e4-1136-2bac-854a764afc57-C,829380182,93969004.20,
ELECTRIC BOAT,ELECTRIC BOAT CORPORATION,E7BEKJ4V9528,d5ab5f51-db3a-a26f-96a1-1b24c3e2802c-C,963737366,93775610.98,
22ND CENTURY,"22ND CENTURY TECHNOLOGIES, INC.",QT2VZ9L1VPQ1,26a2f4e1-d541-6dbc-2cc8-2eb7af4ca03e-C,028619588,93162683.12,
IGOV,"IGOV TECHNOLOGIES, INC.",JKJ7JTLJJHR6,45764df7-cbcb-63d3-d13c-00c00d869778-C,167880181,93129566.96,
CACI-ISS,"CACI-ISS, LLC",EPPXR2P9KYU6,3da8307d-6dcb-c1a9-13be-fd84086d7b4c-C,616205675,92831197.24,
ITC,"ITC FEDERAL, LLC",JP1AJYKRSMC4,c004d114-4ef7-6b37-5b1b-dc2588174987-C,787042998,92336963.15,
GLOBALFOUNDRIES U S 2,GLOBALFOUNDRIES U.S. 2 LLC,RUSME6Z46ML6,7a59fb88-f5b6-cf5a-9b66-75103cf2c1b1-C,079816100,92329544.85,
APTIVE RESOURCES,APTIVE RESOURCES LLC,CP2JANC9NLK1,8fd7e07a-60b0-cb41-25f5-10784c4b61ef-C,828890751,92279141.83,
NOBLIS,"NOBLIS, INC.",NPJ9GV7K4CL1,7d96988d-f5f9-0427-55f1-bd3bf36777be-C,932902364,92185925.82,
RELI,RELI GROUP INC,ZZEFBLYZN5B1,27d1396e-6220-99d3-ebf0-a775a91d36b6-C,078787816,92151718.59,
KONIAG MANAGEMENT,KONIAG MANAGEMENT SOLUTIONS LLC,ZZYLVTN9ZCQ8,046106f6-e4f9-c735-c5d6-6367b71f498f-C,081295612,91682847.25,
IRON VINE SECURITY,IRON VINE SECURITY LLC,UL2BFA85ME72,8e74902e-0b78-5369-b4a4-85524f4c5290-C,018510309,91491740.21,
ASSURED INFORMATION SECURITY,"ASSURED INFORMATION SECURITY, INC.",PPEKTM9CTAJ3,e5e572d2-35d2-2bc6-6335-fda9d2dda81f-C,085851181,91460083.28,
MICROTECHNOLOGIES,MICROTECHNOLOGIES LLC,CL69E7KATK59,839e805e-7095-0376-08b1-f1e61beb9b66-C,145454182,91222410.98,
RAFT,RAFT LLC,M9ALV9LKVDC3,c36be5b4-7ac7-0b04-1068-7614c6dddfaa-C,080033961,90525811.25,
ANACAPA MICRO PRODUCTS,"ANACAPA MICRO PRODUCTS, INC.",CYX7XBK19BU4,a7060a5f-e8f7-e482-ceb4-e7f97a3ed5cb-C,556496370,90436544.91,
SEV1TECH,"SEV1TECH, LLC",HST3AH9JCNN1,355a083e-bded-6e23-4c75-1ca254c160e9-C,962121286,90388223.67,
TWO SIX LABS,"TWO SIX LABS, LLC",EP8HTN6PUJW3,0ea12e4e-2436-9483-0c45-9c799258c634-C,619134914,90121803.89,
GE AVIATION,GE AVIATION SYSTEMS LLC,ZFPKQ7L6T884,5a553103-a4e2-29fc-501c-594cee2aef6b-C,003259561,90057018.93,GE
HX5,HX5 LLC,C134QVM1QLB5,385dd1df-55cb-ae3f-a24c-0b7430d4ae02-C,781841080,89797282.22,
BLUEHALO,"BLUEHALO, LLC",FV5WK6YTN215,7c85f29e-c034-3a2f-18f5-9072f876a712-C,074689217,89729830.54,
CYNERGY PROFESSIONAL,CYNERGY PROFESSIONAL SYSTEMS LLC,GK55J77VGN84,c37ed355-cb9c-bbe3-b51e-f1e8e6fb9923-C,832018290,89705578.46,
FAVOR TECHCONSULTING,"FAVOR TECHCONSULTING, LLC",R4WTAS3E7BA4,4b91d726-1ebd-eccc-8880-29db13a1daee-C,808250745,89474779.41,
AXLE INFORMATICS,"AXLE INFORMATICS, LLC",J4DNP7JJ1MU3,42cd8754-63c7-5fcd-2bef-651175ecc88f-C,020277339,89070298.40,
ATI GOVERNMENT,ATI GOVERNMENT SOLUTIONS LLC,C1ZLDAS18FJ3,6ae410e8-78d6-a857-e19b-6516876f15c5-C,078291604,88178684.09,
FEDSTORE,FEDSTORE CORPORATION,CA6PTFD9GKK3,de156356-1833-fefa-04df-719370121423-C,051237027,87779005.60,
ASCEND PERFORMANCE MATERIALS TEXAS,ASCEND PERFORMANCE MATERIALS TEXAS INC,LQW8PZHYU783,77a75b14-8346-9509-c5c1-ea668a9986fe-C,,87666337.42,
NAKUPUNA,"NAKUPUNA SOLUTIONS, LLC",V4GVJZF4S263,346c58a1-4716-4995-baeb-e94afb8143c8-C,081007372,87214091.16,
INMARSAT GOVERNMENT,"INMARSAT GOVERNMENT, INC.",UK8HWZTN2QG3,a76066ea-2b38-7251-6fd8-dab62b297127-C,122598159,86963636.13,
ABT,ABT GLOBAL LLC,C9S1NLQ67626,4b2f02c9-273a-8c69-ef1f-2e98bf47f78b-C,058595539,86747570.59,
LEARJET,LEARJET INC,YVUQCZA3MFT4,15f7051e-cebc-671a-d693-87e1201522bb-C,007234313,86692276.00,
PERSONNEL DECISIONS RESEARCH INSTITUTES,"PERSONNEL DECISIONS RESEARCH INSTITUTES, LLC",KGZ7ELR8QJM6,8ccdac14-ed77-83af-da40-58f2073e887e-C,037335296,86298219.52,
INSERSO,INSERSO CORPORATION,K18HRGF7HW21,550b25e6-a0ee-e1ef-d841-a42b53b287d5-C,059354865,86290950.86,
STANDARD-BLAZAR,"STANDARD-BLAZAR, LLC",DZ9XM5UDFN29,b57aca37-e609-e1f0-bb13-222830eab1e2-C,117288714,86183519.31,
DLH,"DLH, LLC",NQL3JEME2443,7dc5787c-1843-acc0-ff3f-e83c0b1341ab-C,169884546,85034359.26,
DH,"DH TECHNOLOGIES, INC.",NKC2AB3ESFP5,3b8298c2-5bfd-7fc4-bb07-ad4c20d92543-C,078815475,84941378.73,
ASRC FACILITIES LOGISTICS,ASRC FEDERAL FACILITIES LOGISTICS LLC,NENSLR2C1VH9,16b7202a-1f85-bbe9-9a70-ac3d3d564f93-C,117252290,84293930.52,
CONTRACTS,FEDERAL CONTRACTS LLC,TK67EL9NPMD9,6181a4d1-cd82-4b42-0ada-6ef138a92afc-C,094261935,83840461.50,
DRS SUSTAINMENT,"DRS SUSTAINMENT SYSTEMS, INC",FG7HKV9NTDK5,69e0bc60-3c33-981b-b6f2-080ec54f14f0-C,006265466,83669750.80,
REDHAWK IT,"REDHAWK IT SOLUTIONS, LLC",QGAAEMCMJXQ7,4c61a834-8a33-b7ca-aaa3-d58f9baf2e49-C,801957023,83669193.65,
DYNAMIC,DYNAMIC SYSTEMS INC,Z78DJNKYJ2K5,b3f4a970-826f-4d84-8f0f-3b66cffeb27d-C,825062813,83531201.29,
GM DEFENSE,GM DEFENSE LLC,Y3J5B74JL4J1,cec0f228-893b-bedf-9285-e4d369a0e62f-C,081127205,83170018.11,
HALVIK,"HALVIK, LLC",VMRTJLWMQRH7,2ed31089-b7b4-7b1f-a182-2c09a533d721-C,013052108,83164016.66,
SYSTEM HIGH,SYSTEM HIGH CORPORATION,L6ALJCC5JF13,9f190e55-63d7-267d-ee73-4bf1cc09075c-C,614970205,82364910.67,
BARRIOS TECHNOLOGY,"BARRIOS TECHNOLOGY, LLC",EHD6UHNJVH66,8b5328a1-a579-d89a-5423-6ac8d4577551-C,039526231,82349119.39,
JJR,JJR SOLUTIONS LLC,FTEMBMQ3SGR5,8eaa67d5-d00c-3cb4-380e-f36cc9937a18-C,828029442,82345038.48,
SIEMENS GOVERNMENT,SIEMENS GOVERNMENT TECHNOLOGIES INC,R2VGJTEMCNL5,711c8d6c-e61e-ff97-78a4-2240a45d8684-C,105162098,82066792.02,
KAY AND ASSOCIATES,"KAY AND ASSOCIATES, INC.",NHQJPMYJEVJ9,786f8c14-b830-8268-438c-dc6341f83e2d-C,067448076,82060145.25,
BLACK CANYON CONSULTING,BLACK CANYON CONSULTING LLC,WB3LFMA4KM45,e4df6d9e-ef00-4bc2-8547-e801e7f887eb-C,080819702,81238534.59,
FIBERTEK,"FIBERTEK, INC.",DX8KTH7JHYC6,37710b11-317d-4961-43ce-16722f04f89e-C,107940207,81186434.23,
HUMAN,HUMAN TECHNOLOGIES CORP,Q8MQGT311353,fe7b7284-9771-e7ba-5f61-92f5844c7fa7-C,075814673,81086600.74,
NOVA AN EMPLOYEE-OWNED ENGINEERING,NOVA TECHNOLOGIES AN EMPLOYEE-OWNED ENGINEERING COMPANY,PLXPJBCX84H5,258e00ce-869c-02d4-594e-274af8082b39-C,017444196,81016792.79,
MP,"MP SOLUTIONS, LLC",PZJMAWLDYJJ8,f20d2a12-b5a9-83e7-8386-42f133dc95c4-C,117005743,81014893.77,
SMITHSONIAN INSTITUTION,SMITHSONIAN INSTITUTION,Q7N8CH7NR418,b9c84403-30df-7651-340e-6f71d13d5362-C,003261823,80145130.82,
TUNNELL CONSULTING,TUNNELL CONSULTING INC,FDHJCNNVUY53,c5686ad9-4596-7dd6-9479-a22986390606-C,928197235,79832342.78,
TRANSAERO,"TRANSAERO, INC.",G1EVUT8EBLV1,4454fc72-c69e-58e9-a9e7-e9ea7f8922db-C,012895066,79730098.85,
ESIMPLICITY,ESIMPLICITY INC,HTCQFJB8LLV3,11a5f99b-96fc-48fa-2fb9-1e774006c5b3-C,080019191,79679725.63,
ENVISTACOM L L C,"ENVISTACOM, L.L.C",JCJ5T8BDKC73,65a07d8c-be7f-156f-d12e-3027046e36d0-C,968250378,79493733.86,
KADIAK,KADIAK LLC,S58NJBBDKRF5,ccff2236-58a4-bdbe-3deb-8a5333f10f7f-C,080193549,79152603.91,
REGAN,REGAN TECHNOLOGIES CORP,PJ2BS3KYWKS5,b8e9bca3-d236-b6e9-1384-a45afa5d9e98-C,111580007,79039322.62,
